Filename,Class,Contrast0,Contrast45,Contrast90,Contrast135,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Dissimilarity0,Dissimilarity45,Dissimilarity90,Dissimilarity135,Entropy0,Entropy45,Entropy90,Entropy135,ASM0,ASM45,ASM90,ASM135,Energy0,Energy45,Energy90,Energy135,Correlation0,Correlation45,Correlation90,Correlation135
Image_1,COVID19,96.24472289156627,173.70439186464733,104.55638554216868,166.71582716407798,0.29238201361961136,0.20702609903913333,0.28928691709240734,0.2139597160318808,5.665413654618473,7.978903566071516,5.765253012048193,7.752003999935485,7.9878328181624365,8.338156568013588,8.014356498118204,8.3069845068679,0.0006369465008628894,0.00041324499407062703,0.000615260657086176,0.0004243548073828121,0.025237799049498934,0.02032842822430271,0.024804448332631308,0.020599873965216682,0.9908522544372763,0.9834224830587553,0.9900189470527632,0.9840892384233112
Image_2,COVID19,37.20067469879518,53.08115998129062,26.950907630522092,55.474556861986095,0.4953733199130268,0.42431981849457684,0.5179384699558751,0.4147382279980647,2.3282570281124495,3.103191884001871,2.189975903614458,3.2875276205222494,7.155388232806218,7.431698721473671,7.139826034323466,7.476588387264956,0.0036527461169981127,0.003011591326655542,0.0034485909582103514,0.003047992337643637,0.060437952620833485,0.054877967588601,0.058724704837149685,0.055208625572854435,0.9966180364499545,0.9951582489232501,0.9975425636603058,0.994939999101742
Image_3,COVID19,192.15277108433736,309.9710649828229,125.71318875502007,315.26439896130705,0.4542781707915954,0.36996654677022833,0.47873334927161404,0.3682546219490767,3.877204819277108,5.576103611232077,3.1437751004016063,5.656715214270737,7.46294886459205,7.731722559844452,7.319435497103573,7.744453043678032,0.00411466653763649,0.003633511821254072,0.004043439170335963,0.0036218427127684104,0.06414566655384049,0.06027861827591996,0.06358804266791016,0.06018174733894331,0.9818899965365018,0.9705505771497174,0.9881523068023822,0.970047673336328
Image_4,COVID19,43.33318875502008,63.69466621506105,25.504321285140563,59.737326817309395,0.3543378691577175,0.2892973470299859,0.455472952010444,0.2973364399239121,3.9956787148594377,4.965194109772424,2.7795020080321287,4.83392203351559,7.81301108063811,8.026947967861915,7.473427197394714,8.00890119010368,0.0014709796293608168,0.0011110626241216301,0.0017321996741988031,0.001164153003086229,0.03835335225714718,0.03333260602055636,0.041619702956638256,0.03411968644472321,0.9960561123965734,0.9941850822265305,0.9976747811703975,0.9945463719431076
Image_5,COVID19,69.30094779116465,110.44799277431008,70.46663453815262,125.8518572281092,0.3784229965595872,0.3376658048943532,0.4494617648594703,0.31345055431061575,4.287775100401607,5.277366494088805,3.636048192771084,5.8358897437138095,7.841189707720605,8.023484788399331,7.650754432367564,8.120141185769295,0.0021660915146529897,0.001901331616279461,0.002256389025983452,0.0018145231522670637,0.04654128827882818,0.043604261446324954,0.047501463408861966,0.04259722000632276,0.9934672124167491,0.9895476719130706,0.9933476606744965,0.9880903595792786
Image_6,COVID19,51.58260240963855,76.80832567216657,33.52626506024096,67.5337010693376,0.4144100484111666,0.3545837614109091,0.4949839641212085,0.3535501102753975,3.529269076305221,4.473718165836035,2.5490763052208836,4.273398816148127,7.9602187991176505,8.195595446013069,7.69037990589666,8.169339947403333,0.0010576536507475687,0.0008407438207402404,0.0012403536717149723,0.0008292538167787372,0.03252158745737312,0.028995582779800105,0.035218655166189584,0.02879676747099815,0.9952420005370707,0.9929048645037587,0.996916741434158,0.9937616249076279
Image_7,COVID19,42.704321285140566,116.78200351607232,78.24853012048193,115.43686392154969,0.4134061904147258,0.3576146641453561,0.5152038041825788,0.3655134937420774,3.667726907630523,4.913323978645506,2.775309236947791,4.787100208061162,7.805175669092241,8.017724477625103,7.438494099674032,7.994609659298138,0.004830987242141255,0.004439755974458743,0.00555853318494863,0.004442864875211399,0.06950530369792837,0.0666314938633282,0.07455557111945847,0.06665481884463718,0.9958993206490759,0.9887670014982346,0.9925119779019371,0.988896387453219
Image_8,COVID19,37.89751004016065,52.6260221609329,27.904080321285143,58.516830373703655,0.33606299774358206,0.2795612393051101,0.37319567868527936,0.2677917630359996,3.832706827309237,4.656763600587088,3.2151485943775104,4.964113482040613,8.313642644919407,8.516476349987673,8.177663090153311,8.56697762296705,0.0005181973193980743,0.00040906458782051156,0.0005501316430380158,0.0003935871994780641,0.022763947799054413,0.020225345184211607,0.023454885270195115,0.01983903222130717,0.9964677877179433,0.9950783508343879,0.9973861033317264,0.9945272843870256
Image_9,COVID19,94.63384738955826,134.9825164110256,52.02064257028113,124.23325430234998,0.4590776997498453,0.38452950935944946,0.4941786448840911,0.3898388597664962,4.713526104417672,6.208206319252916,3.8809156626506027,6.113707843421881,7.035127432836148,7.290916981788193,6.911991784441863,7.283235413649943,0.01081093337204239,0.009448041215775548,0.011491197496814572,0.009646183627363171,0.10397563835842696,0.0972010350550628,0.10719700320818008,0.09821498677576233,0.9914999225135713,0.9878627861713009,0.9953385338884654,0.9888293308806676
Image_10,COVID19,164.5922891566265,276.9326139900969,150.7191807228916,270.86742149320173,0.27977620225970107,0.2103408383181859,0.324644860887175,0.21469346809165382,7.233670682730924,9.539442912211095,6.06536546184739,9.377961645779909,8.520659555604517,8.80991178312464,8.337195534755416,8.788288555909993,0.0004372577216496508,0.00029459923761704896,0.000512639860647409,0.0002985862317920582,0.02091070830100336,0.017163893428271133,0.022641551639572075,0.017279647907062753,0.9841176172315885,0.9731453492387397,0.9854159478173212,0.9737334068893514
Image_11,COVID19,56.97455421686748,110.28793083982518,72.15526104417671,111.18223899614526,0.30424518829964564,0.2196146624362318,0.3036294524120921,0.2234235120762596,4.774200803212853,6.758858728085032,5.059228915662651,6.755891034015581,7.8522309211333905,8.197677920803441,7.899611894637921,8.194120231171874,0.0007021722875437496,0.0004756399636235357,0.0007115712327220529,0.0004788146791105557,0.02649853368667311,0.021809171548308196,0.02667529255176132,0.021881834454875022,0.9947193990218982,0.9897473172194462,0.9932795160667522,0.9896642529492807
Image_12,COVID19,64.80212048192772,99.48826631828518,47.060273092369485,101.18867437621974,0.2880142343179555,0.23146705908019205,0.3540249397882641,0.22631308986594376,5.000385542168676,6.27409235334914,3.908112449799197,6.4570732730117255,8.375949068115409,8.599846926437719,8.144151615886509,8.629350632551766,0.00043456511991742076,0.00032879636548436094,0.0005582691892066256,0.00032105858179365214,0.020846225555659247,0.018132742911218948,0.023627720778920374,0.01791810765102309,0.9939746277530201,0.990732800591436,0.9956212577155936,0.9905745289001879
Image_13,COVID19,124.19608032128515,171.06648279866454,71.68520481927712,168.50215319107753,0.3121559132354294,0.24587182163092472,0.3527895643912794,0.25015215371202887,5.893943775100401,7.340929985000241,4.518746987951808,7.349236302640278,8.016359413574401,8.278622110434682,7.835201425386579,8.276078662916554,0.0007710772406896662,0.0005469640155866554,0.0008743917033596231,0.000575240678871118,0.027768277596740967,0.023387261823194595,0.029570115037984263,0.023984175592901207,0.9885050572555277,0.9841258298667683,0.9933450157033358,0.984363804693335
Image_14,COVID19,335.2756787148595,433.7063757036177,103.17922891566266,434.35173626231835,0.39804362265592474,0.3690105757103219,0.5393421880655114,0.3497002300477993,4.762714859437753,5.990306607957936,2.679694779116466,6.1237076821341585,7.889548201727079,8.04670618278909,7.46030152998049,8.08218991035731,0.0007510720149675007,0.0006542304564956202,0.001204064192513024,0.0006167814824348066,0.027405693112335268,0.02557792908926796,0.034699628132200844,0.024835085714263332,0.9680706866242494,0.9583986795190061,0.9901559942471546,0.9583367923518074
Image_15,COVID19,106.48986345381527,144.58152287866324,60.84533333333334,151.00919340010645,0.28765530902013653,0.22941775785486396,0.3489145831703658,0.2257549317798071,5.96237751004016,7.19286785697005,4.303839357429719,7.453057208754698,8.241513410398955,8.451133897062096,7.969112104776269,8.485928329753717,0.0005273841389655006,0.00040413953857780353,0.0007106166674731053,0.00039488879640852146,0.02296484572048113,0.02010322209442565,0.02665739423636724,0.0198718090874616,0.9900679835961405,0.9864819197365862,0.9943107469325448,0.9858810167336517
Image_16,COVID19,46.34162248995984,57.01288688892114,23.61116465863454,66.68337607457943,0.3285239677584925,0.28543144495030387,0.411225983204468,0.2727120411523179,4.228690763052208,4.816761019983548,2.9008032128514056,5.19620651279818,8.408656006773256,8.55533052780572,8.061288400011904,8.605104372082085,0.00040006103127368915,0.0003234133445426283,0.0005582637699391946,0.00031440387970981063,0.020001525723646413,0.017983696631744775,0.023627606098358643,0.017731437609788177,0.9956705248084852,0.9946591780101404,0.997786709323459,0.9937534640574759
